ID,SURFY,Town,Cunha,Diaz-Ramos,LogAPC
Q6NXT6,0,1,1,0,
Q6NYC1,0,0,0,1,
Q6P179,0,1,0,0,
Q6P1A2,0,1,1,0,
Q6P1M0,0,1,1,0,
Q6P4A7,0,1,1,0,
Q6P4Q7,1,1,1,0,2.079181246
Q6P9B9,0,1,0,0,
Q6PCB8,1,0,1,0,0.966684081
Q6PI78,0,1,1,0,
Q6PIZ9,1,1,0,0,0.757144028
Q6PJF5,1,1,1,0,2.079181246
Q6UW02,0,1,0,0,
Q6UW68,0,1,1,0,-0.702550637
Q6UWI4,0,1,1,0,2.079181246
Q6UWL6,1,1,1,0,2.079181246
Q6UWP7,0,1,1,0,
Q6UXB8,1,1,0,1,-0.398814067
Q6UXD5,1,1,1,0,2.079181246
Q6UXN9,0,0,1,0,
Q6UXV4,0,1,0,0,
Q6Y1H2,0,0,1,0,
Q6Y288,0,1,0,0,
Q6ZMG9,0,1,0,0,-0.88942389
Q6ZNB6,0,1,0,0,
Q7KYR7,1,1,1,1,2.079181246
Q7L0J3,1,1,1,0,0.649559986
Q7L1W4,0,1,1,1,2.079181246
Q7LGA3,0,1,0,0,
Q7RTP0,0,1,1,0,
Q7Z434,0,1,1,0,
Q7Z7H5,0,1,0,0,-0.761312049
Q86UB9,0,1,1,0,
Q86UE4,0,1,0,0,
Q86UF1,1,1,1,1,2.079181246
Q86UP2,0,1,0,0,-1.117466827
Q86UV5,0,0,1,0,
Q86VB7,1,1,1,1,2.079181246
Q86VE9,1,1,1,0,2.079181246
Q86VZ1,1,0,1,1,2.079181246
Q86WV6,0,1,0,0,
Q86X29,0,1,1,0,2.079181246
Q86XL3,0,1,0,0,
Q86XS8,1,1,1,0,2.079181246
Q86Y39,0,1,0,0,2.079181246
Q8IUC8,0,1,0,0,
Q8IWA4,0,1,0,0,
Q8IWA5,1,1,1,0,2.079181246
Q8IWK6,1,1,1,0,2.079181246
Q8IXI1,0,1,1,0,
Q8IXI2,0,1,1,0,
Q8IXU6,0,1,1,1,2.079181246
Q8IY34,1,1,1,0,
Q8N131,1,1,1,1,2.079181246
Q8N201,0,1,0,0,
Q8N2K0,0,1,1,1,
Q8N2U0,0,1,1,0,2.079181246
Q8N5K1,0,1,1,0,
Q8N5M9,0,0,1,0,-1.36197326
Q8N5Y8,0,1,0,0,
Q8N608,1,1,1,0,2.079181246
Q8N6L1,0,1,1,1,
Q8N6S5,0,1,1,0,
Q8NAT1,0,1,0,0,
Q8NB49,0,1,1,0,2.079181246
Q8NBM4,1,1,1,0,
Q8NBX0,0,0,1,0,
Q8NC42,1,1,1,0,2.079181246
Q8NC67,1,1,1,0,2.079181246
Q8NE01,1,1,0,0,1.307823926
Q8NE86,0,0,1,0,
Q8NEW0,0,1,1,0,
Q8NF37,0,1,1,0,
Q8NFZ8,1,1,1,0,2.079181246
Q8NG11,1,1,0,0,1.067839623
Q8NH64,1,1,1,0,2.079181246
Q8NHP6,0,1,1,0,
Q8TB36,0,1,1,0,
Q8TB61,0,1,1,0,
Q8TB96,1,1,1,1,2.079181246
Q8TC12,0,1,0,0,
Q8TCG1,0,1,0,0,
Q8TCJ2,1,1,1,0,-1.327188671
Q8TCT7,1,0,1,0,2.079181246
Q8TCT8,1,1,1,0,2.079181246
Q8TCT9,1,0,1,0,
Q8TCZ2,0,1,1,0,0.421219669
Q8TEM1,1,0,0,0,-1.042772826
Q8TF71,0,1,1,0,2.079181246
Q8WTV0,1,1,1,0,2.079181246
Q8WUM9,0,1,1,0,2.079181246
Q8WUX1,1,0,1,0,2.079181246
Q8WVC6,0,0,1,0,
Q8WVX9,0,1,1,0,
Q8WWA1,0,1,1,0,
Q8WWI5,1,1,1,1,0.989837563
Q8WWP7,0,1,0,0,
Q8WWZ7,1,0,1,0,
Q8WXH0,0,1,0,0,
Q8WY22,0,0,1,1,
Q92504,0,1,1,0,
Q92508,1,1,1,0,2.079181246
Q92536,1,1,1,1,2.079181246
Q92542,1,1,1,0,2.079181246
Q92544,1,1,1,0,
Q92604,0,1,1,0,
Q92643,0,1,0,0,
Q92673,1,1,1,1,2.079181246
Q92692,1,1,0,1,2.079181246
Q92729,1,1,1,1,2.079181246
Q92854,1,1,1,1,0.33197732
Q92859,1,1,1,1,0.248486029
Q92896,0,1,0,0,-1.887159025
Q93084,0,0,1,0,
Q969M3,0,0,1,0,2.079181246
Q969N2,1,1,0,0,
Q969P0,1,1,1,1,0.617340587
Q969V3,0,0,1,0,
Q969X5,0,1,0,0,
Q96A26,0,1,1,0,
Q96A33,0,1,0,0,-2.220855789
Q96AA3,0,0,1,0,
Q96AG4,0,1,1,0,-1.159731368
Q96CU9,0,1,0,0,
Q96D31,0,0,1,1,0.547288134
Q96D96,0,1,1,1,-0.441198614
Q96DU3,1,1,1,1,1.121045336
Q96ER9,0,1,1,0,
Q96F15,0,1,0,0,-0.985113265
Q96F46,1,1,1,1,2.079181246
Q96GC9,0,0,1,0,
Q96GQ5,0,1,1,0,
Q96GX5,0,1,0,0,
Q96HA4,1,1,0,0,2.079181246
Q96HS1,0,1,0,0,-1.151072313
Q96IX5,0,1,0,0,-0.480952856
Q96J84,1,1,1,0,2.079181246
Q96JJ7,1,1,1,0,
Q96K37,0,0,1,0,-1.268774678
Q96KA5,0,0,1,0,
Q96KJ4,1,1,0,0,
Q96KR4,0,0,1,0,2.079181246
Q96N66,0,1,1,0,
Q96ND0,0,1,1,0,
